ident,type,lat,lon,name,country
ACIRI,fix,67.81201388,-164.75033333,ACIRI,US
ACISA,fix,40.83939722,-85.39204166,ACISA,US
ACITO,fix,41.39861111,-88.18333333,ACITO,US
ACITU,fix,44.43913888,-105.56479444,ACITU,US
ACIVE,fix,60.56655555,-161.94298333,ACIVE,US
ACIVU,fix,28.92597777,-95.58684166,ACIVU,US
ACIWA,fix,37.09280833,-90.31512777,ACIWA,US
ACIWY,fix,38.16312777,-89.18897222,ACIWY,US
ACIYO,fix,36.47509444,-121.4402,ACIYO,US
ACIYU,fix,39.84520555,-85.78158055,ACIYU,US
ACJAD,fix,30.23939722,-85.77824722,ACJAD,US
ACKBR,fix,51.88813333,-176.92256666,ACKBR,US
ACKEE,fix,35.18443333,-87.83423333,ACKEE,US
ACKEG,fix,42.43699444,-96.97359166,ACKEG,US
ACKEX,fix,41.52301666,-73.98674166,ACKEX,US
ACKLE,fix,28.92474166,-95.46183888,ACKLE,US
ACKLI,fix,30.36496666,-81.45283888,ACKLI,US
ACKLY,fix,41.10940555,-91.87716944,ACKLY,US
ACKME,fix,33.84756666,-97.67785277,ACKME,US
ACLAC,fix,35.12688611,-81.19959444,ACLAC,US
ACLAM,fix,36.07509166,-114.52258611,ACLAM,US
ACLIK,fix,42.53048333,-95.45569444,ACLIK,US
ACLIM,fix,39.71089444,-75.01598333,ACLIM,US
ACLIN,fix,29.18230833,-98.49986944,ACLIN,US
ACLOB,fix,42.23965555,-122.28383055,ACLOB,US
ACMAN,fix,35.069075,-85.58026111,ACMAN,US
ACMED,fix,32.72770833,-78.22694722,ACMED,US
ACMEE,fix,22.17437777,-75.05638055,ACMEE,US
ACMES,fix,30.92420277,-88.36967222,ACMES,US
ACMIE,fix,34.94893611,-106.67488888,ACMIE,US
ACMOD,fix,28.36996666,-80.77695,ACMOD,US
ACMOF,fix,28.88494722,-81.89262777,ACMOF,US
ACNOP,fix,42.93877777,-85.18241111,ACNOP,US
ACOBI,fix,38.92323611,-78.23344444,ACOBI,US
ACOCO,fix,43.79261111,-91.23850833,ACOCO,US
ACOCU,fix,40.11369166,-76.28171111,ACOCU,US
ACODI,fix,36.74163055,-108.21707777,ACODI,US
ACOKO,fix,36.34421388,-97.08875,ACOKO,US
ACOLA,fix,29.45988333,-95.50511666,ACOLA,US
ACOLU,fix,43.22916666,-88.83080555,ACOLU,US
ACOMA,fix,34.88770555,-107.42182222,ACOMA,US
ACONI,fix,43.48062777,-123.33078611,ACONI,US
ACONU,fix,28.73868055,-96.26881388,ACONU,US
ACONY,fix,18.92736666,-66.47744722,ACONY,US
ACOPA,fix,42.30964444,-71.39742777,ACOPA,US
ACORE,fix,38.52106388,-90.05825277,ACORE,US
ACORI,fix,31.77315555,-85.85819722,ACORI,US
ACORO,fix,34.57589722,-79.46986111,ACORO,US
ACOSA,fix,38.60835277,-79.05489166,ACOSA,US
ACOSI,fix,37.11870833,-111.53460833,ACOSI,US
ACOSU,fix,43.62344166,-94.30971388,ACOSU,US
ACOTI,fix,40.64494722,-86.051875,ACOTI,US
ACOTO,fix,35.83573055,-76.74563333,ACOTO,US
ACOTY,fix,44.40430833,-123.30795833,ACOTY,US
ACOVE,fix,42.23478333,-74.03183055,ACOVE,US
ACOVO,fix,33.34078888,-88.84583888,ACOVO,US
ACOVY,fix,39.86151666,-119.99206111,ACOVY,US
ACOYU,fix,37.04466944,-76.47611111,ACOYU,US
ACPAJ,fix,34.03866666,-85.14121944,ACPAJ,US
ACRAM,fix,26.51165555,-82.175325,ACRAM,US
ACRAN,fix,61.07238333,-156.49089166,ACRAN,US
ACRAT,fix,34.2172,-118.97853055,ACRAT,US
ACRDI,fix,35.19490555,-97.58876388,ACRDI,US
ACRES,fix,32.44168055,-105.78728055,ACRES,US
ACRON,fix,13.62375277,143.03114166,ACRON,US
ACROR,fix,30.6746,-94.97965555,ACROR,US
ACROT,fix,36.27985833,-79.44225833,ACROT,US
ACROW,fix,38.064425,-77.17471666,ACROW,US
ACRUZ,fix,24.0,-84.57818888,ACRUZ,US
ACTED,fix,32.55722222,-99.02139444,ACTED,US
ACTIP,fix,39.23383055,-94.73513611,ACTIP,US
ACTON,fix,46.042725,-67.78101388,ACTON,US
ACTOR,fix,39.75575833,-104.52311111,ACTOR,US
ACTUP,fix,38.70336388,-75.18619444,ACTUP,US
ACUBO,fix,37.83561666,-97.35395833,ACUBO,US
ACUDI,fix,34.66524722,-98.06376944,ACUDI,US
ACUDU,fix,66.87099444,-162.38640555,ACUDU,US
ACUFF,fix,32.18150555,-96.61084166,ACUFF,US
ACUGI,fix,34.27810277,-97.95702222,ACUGI,US
ACUGO,fix,44.13311388,-70.40526388,ACUGO,US
ACUHA,fix,44.30906944,-68.71430555,ACUHA,US
ACUNO,fix,36.85637777,-76.23674166,ACUNO,US
ACUSA,fix,40.00734444,-77.59329722,ACUSA,US
ACUSE,fix,38.1232,-97.50298333,ACUSE,US
ACUTE,fix,35.60975,-79.06494722,ACUTE,US
ACUTI,fix,38.52511111,-122.81787777,ACUTI,US
ACUVI,fix,33.91000833,-84.49016944,ACUVI,US
ACUXA,fix,27.70653888,-97.30788888,ACUXA,US
ACUYU,fix,13.592225,144.95507222,ACUYU,US
ACUZI,fix,41.20068611,-85.47207777,ACUZI,US
ACVEK,fix,30.58303055,-97.685275,ACVEK,US
ACVIK,fix,27.67759444,-97.28911388,ACVIK,US
ACVOL,fix,44.61310833,-123.27231944,ACVOL,US
